Date,amount,description,notes
02/06/16,44.28,Vidality Palo Alto ,38.5 miles X 2 = 77miles @.575/mi 
02/13/16,44.28,Vidality Palo Alto ,38.5 miles X 2 = 77miles @.575/mi 
02/13/16,44.28,Fry's Palo Alto ,"38.5 miles X 2 = 77miles @.575/mi, ink"
